payment_id,subscription_id,user_id,payment_date,amount,currency,payment_status,payment_method,invoice_period_start,invoice_period_end
P_000001,S_000001,U_000001,2022-08-17,0.0,ZAR,refunded,paypal,2022-08-17,2022-09-16
P_000002,S_000001,U_000001,2022-09-16,0.0,ZAR,failed,paypal,2022-09-16,2022-10-16
P_000003,S_000001,U_000001,2022-10-16,150.0,ZAR,paid,eft,2022-10-16,2022-11-15
P_000004,S_000001,U_000001,2022-11-15,0.0,ZAR,failed,card,2022-11-15,2022-12-15
P_000005,S_000002,U_000001,2022-12-26,150.0,ZAR,paid,paypal,2022-12-26,2023-01-25
P_000006,S_000002,U_000001,2023-01-25,150.0,ZAR,paid,eft,2023-01-25,2023-02-24
P_000007,S_000002,U_000001,2023-02-24,150.0,ZAR,paid,card,2023-02-24,2023-03-26
P_000008,S_000002,U_000001,2023-03-26,150.0,ZAR,paid,eft,2023-03-26,2023-04-25
P_000009,S_000002,U_000001,2023-04-25,150.0,ZAR,paid,eft,2023-04-25,2023-05-25
P_000010,S_000002,U_000001,2023-05-25,150.0,ZAR,paid,eft,2023-05-25,2023-06-24
P_000011,S_000002,U_000001,2023-06-24,150.0,ZAR,paid,paypal,2023-06-24,2023-07-24
P_000012,S_000002,U_000001,2023-07-24,150.0,ZAR,paid,card,2023-07-24,2023-08-23
P_000013,S_000003,U_000002,2023-05-17,0.0,ZAR,refunded,eft,2023-05-17,2023-06-16
P_000014,S_000003,U_000002,2023-06-16,150.0,ZAR,paid,card,2023-06-16,2023-07-16
P_000015,S_000003,U_000002,2023-07-16,150.0,ZAR,paid,paypal,2023-07-16,2023-08-15
P_000016,S_000003,U_000002,2023-08-15,150.0,ZAR,paid,card,2023-08-15,2023-09-14
P_000017,S_000003,U_000002,2023-09-14,150.0,ZAR,paid,card,2023-09-14,2023-10-14
P_000018,S_000003,U_000002,2023-10-14,150.0,ZAR,paid,card,2023-10-14,2023-11-13
P_000019,S_000003,U_000002,2023-11-13,0.0,ZAR,refunded,card,2023-11-13,2023-12-13
P_000020,S_000003,U_000002,2023-12-13,0.0,ZAR,failed,paypal,2023-12-13,2024-01-12
P_000021,S_000003,U_000002,2024-01-12,150.0,ZAR,paid,paypal,2024-01-12,2024-02-11
P_000022,S_000003,U_000002,2024-02-11,150.0,ZAR,paid,eft,2024-02-11,2024-03-12
P_000023,S_000003,U_000002,2024-03-12,150.0,ZAR,paid,paypal,2024-03-12,2024-04-11
P_000024,S_000003,U_000002,2024-04-11,150.0,ZAR,paid,paypal,2024-04-11,2024-05-11
P_000025,S_000003,U_000002,2024-05-11,150.0,ZAR,paid,card,2024-05-11,2024-06-10
P_000026,S_000003,U_000002,2024-06-10,0.0,ZAR,failed,card,2024-06-10,2024-07-10
P_000027,S_000003,U_000002,2024-07-10,150.0,ZAR,paid,eft,2024-07-10,2024-08-09
P_000028,S_000003,U_000002,2024-08-09,150.0,ZAR,paid,card,2024-08-09,2024-09-08
P_000029,S_000003,U_000002,2024-09-08,150.0,ZAR,paid,card,2024-09-08,2024-10-08
P_000030,S_000003,U_000002,2024-10-08,150.0,ZAR,paid,paypal,2024-10-08,2024-11-07
P_000031,S_000003,U_000002,2024-11-07,150.0,ZAR,paid,card,2024-11-07,2024-12-07
P_000032,S_000003,U_000002,2024-12-07,150.0,ZAR,paid,card,2024-12-07,2025-01-06
P_000033,S_000004,U_000002,2023-05-17,900.0,ZAR,paid,card,2023-05-17,2023-06-16
P_000034,S_000004,U_000002,2023-06-16,900.0,ZAR,paid,paypal,2023-06-16,2023-07-16
P_000035,S_000004,U_000002,2023-07-16,900.0,ZAR,paid,eft,2023-07-16,2023-08-15
P_000036,S_000004,U_000002,2023-08-15,900.0,ZAR,paid,eft,2023-08-15,2023-09-14
P_000037,S_000004,U_000002,2023-09-14,900.0,ZAR,paid,eft,2023-09-14,2023-10-14
P_000038,S_000004,U_000002,2023-10-14,900.0,ZAR,paid,eft,2023-10-14,2023-11-13
P_000039,S_000004,U_000002,2023-11-13,900.0,ZAR,paid,eft,2023-11-13,2023-12-13
P_000040,S_000004,U_000002,2023-12-13,900.0,ZAR,paid,eft,2023-12-13,2024-01-12
P_000041,S_000004,U_000002,2024-01-12,900.0,ZAR,paid,card,2024-01-12,2024-02-11
P_000042,S_000004,U_000002,2024-02-11,900.0,ZAR,paid,paypal,2024-02-11,2024-03-12
P_000043,S_000004,U_000002,2024-03-12,900.0,ZAR,paid,card,2024-03-12,2024-04-11
P_000044,S_000004,U_000002,2024-04-11,900.0,ZAR,paid,paypal,2024-04-11,2024-05-11
P_000045,S_000004,U_000002,2024-05-11,900.0,ZAR,paid,paypal,2024-05-11,2024-06-10
P_000046,S_000004,U_000002,2024-06-10,0.0,ZAR,refunded,card,2024-06-10,2024-07-10
P_000047,S_000004,U_000002,2024-07-10,900.0,ZAR,paid,eft,2024-07-10,2024-08-09
P_000048,S_000004,U_000002,2024-08-09,900.0,ZAR,paid,eft,2024-08-09,2024-09-08
P_000049,S_000004,U_000002,2024-09-08,900.0,ZAR,paid,card,2024-09-08,2024-10-08
P_000050,S_000004,U_000002,2024-10-08,900.0,ZAR,paid,paypal,2024-10-08,2024-11-07
P_000051,S_000004,U_000002,2024-11-07,900.0,ZAR,paid,paypal,2024-11-07,2024-12-07
P_000052,S_000004,U_000002,2024-12-07,900.0,ZAR,paid,paypal,2024-12-07,2025-01-06
P_000053,S_000005,U_000003,2022-07-29,150.0,ZAR,paid,card,2022-07-29,2022-08-28
P_000054,S_000005,U_000003,2022-08-28,150.0,ZAR,paid,card,2022-08-28,2022-09-27
P_000055,S_000005,U_000003,2022-09-27,150.0,ZAR,paid,card,2022-09-27,2022-10-27
P_000056,S_000005,U_000003,2022-10-27,0.0,ZAR,refunded,eft,2022-10-27,2022-11-26
P_000057,S_000005,U_000003,2022-11-26,150.0,ZAR,paid,eft,2022-11-26,2022-12-26
P_000058,S_000005,U_000003,2022-12-26,150.0,ZAR,paid,card,2022-12-26,2023-01-25
P_000059,S_000005,U_000003,2023-01-25,150.0,ZAR,paid,eft,2023-01-25,2023-02-24
P_000060,S_000005,U_000003,2023-02-24,0.0,ZAR,refunded,eft,2023-02-24,2023-03-26
P_000061,S_000005,U_000003,2023-03-26,150.0,ZAR,paid,paypal,2023-03-26,2023-04-25
P_000062,S_000005,U_000003,2023-04-25,150.0,ZAR,paid,paypal,2023-04-25,2023-05-25
P_000063,S_000005,U_000003,2023-05-25,0.0,ZAR,failed,eft,2023-05-25,2023-06-24
P_000064,S_000005,U_000003,2023-06-24,150.0,ZAR,paid,eft,2023-06-24,2023-07-24
