subscription_id,user_id,plan_type,start_date,end_date,status,created_at
S_000001,U_000001,Basic,2022-08-17,2022-12-15,canceled,2022-08-17
S_000002,U_000001,Basic,2022-12-26,2023-08-23,canceled,2022-12-26
S_000003,U_000002,Basic,2023-05-17,,active,2023-05-17
S_000004,U_000002,Enterprise,2023-05-17,,active,2023-05-17
S_000005,U_000003,Basic,2022-07-29,2024-06-18,canceled,2022-07-29
S_000006,U_000004,Enterprise,2024-05-14,,active,2024-05-14
S_000007,U_000005,Pro,2022-07-11,2024-04-01,active,2022-07-11
S_000008,U_000006,Enterprise,2024-10-31,,active,2024-10-31
S_000009,U_000006,Basic,2024-10-31,,active,2024-10-31
S_000010,U_000007,Pro,2023-02-12,2024-01-08,canceled,2023-02-12
S_000011,U_000008,Pro,2023-03-28,,active,2023-03-28
S_000012,U_000008,Pro,2023-03-28,2024-05-21,canceled,2023-03-28
S_000013,U_000009,Basic,2023-07-24,2024-02-19,active,2023-07-24
S_000014,U_000010,Basic,2024-05-15,,active,2024-05-15
S_000015,U_000010,Basic,2024-05-15,,active,2024-05-15
S_000016,U_000011,Basic,2022-11-15,2023-02-13,canceled,2022-11-15
S_000017,U_000012,Pro,2022-07-29,2024-02-19,canceled,2022-07-29
S_000018,U_000012,Pro,2024-02-26,2024-10-23,active,2024-02-26
S_000019,U_000013,Enterprise,2022-07-18,2022-11-15,canceled,2022-07-18
S_000020,U_000014,Basic,2023-06-26,2024-01-22,canceled,2023-06-26
S_000021,U_000014,Basic,2024-02-12,2024-04-12,canceled,2024-02-12
S_000022,U_000015,Basic,2022-09-13,2023-11-07,active,2022-09-13
S_000023,U_000015,Basic,2023-11-24,2024-09-19,canceled,2023-11-24
S_000024,U_000016,Pro,2023-08-24,2024-12-16,canceled,2023-08-24
S_000025,U_000016,Basic,2024-12-23,,active,2024-12-23
S_000026,U_000017,Pro,2023-01-29,2024-05-23,canceled,2023-01-29
S_000027,U_000018,Basic,2023-04-12,2023-06-11,canceled,2023-04-12
S_000028,U_000019,Basic,2023-04-22,2024-06-15,canceled,2023-04-22
S_000029,U_000019,Pro,2024-07-11,,active,2024-07-11
S_000030,U_000020,Basic,2023-07-24,2024-08-17,canceled,2023-07-24
S_000031,U_000020,Basic,2024-09-13,,active,2024-09-13
S_000032,U_000021,Basic,2022-11-30,2023-02-28,active,2022-11-30
S_000033,U_000022,Basic,2023-03-06,2024-01-30,canceled,2023-03-06
S_000034,U_000023,Basic,2022-12-17,2024-02-10,canceled,2022-12-17
S_000035,U_000024,Enterprise,2022-12-01,2023-07-29,canceled,2022-12-01
S_000036,U_000024,Basic,2023-08-16,2023-10-15,canceled,2023-08-16
S_000037,U_000025,Basic,2023-07-07,2023-12-04,canceled,2023-07-07
S_000038,U_000026,Pro,2023-10-27,2024-01-25,canceled,2023-10-27
S_000039,U_000027,Basic,2022-03-07,2023-12-27,canceled,2022-03-07
S_000040,U_000027,Enterprise,2024-01-07,,active,2024-01-07
S_000041,U_000028,Basic,2023-07-03,2024-02-28,canceled,2023-07-03
S_000042,U_000028,Basic,2024-03-14,,active,2024-03-14
S_000043,U_000029,Basic,2023-10-07,2024-06-03,canceled,2023-10-07
S_000044,U_000029,Pro,2024-06-10,,active,2024-06-10
S_000045,U_000030,Basic,2024-03-21,2024-11-16,canceled,2024-03-21
S_000046,U_000030,Basic,2024-12-15,,active,2024-12-15
S_000047,U_000031,Basic,2023-06-27,2023-11-24,canceled,2023-06-27
S_000048,U_000032,Pro,2023-06-23,,active,2023-06-23
S_000049,U_000032,Basic,2023-06-23,2024-01-19,canceled,2023-06-23
S_000050,U_000033,Enterprise,2024-03-28,,active,2024-03-28
S_000051,U_000033,Basic,2024-03-28,,active,2024-03-28
S_000052,U_000034,Pro,2022-10-11,2024-06-02,canceled,2022-10-11
S_000053,U_000035,Basic,2022-07-06,2024-06-25,active,2022-07-06
