user_id,event_date,event_type
U00001,2024-09-18,feature_use
U00001,2024-11-18,login
U00001,2024-11-17,support_ticket
U00001,2024-11-05,feature_use
U00001,2024-11-12,feature_use
U00001,2024-11-25,login
U00001,2024-12-26,login
U00001,2024-12-27,support_ticket
U00001,2024-09-29,login
U00001,2024-10-10,login
U00001,2024-12-22,feature_use
U00001,2024-11-07,login
U00001,2024-09-08,support_ticket
U00001,2024-09-09,feature_use
U00001,2024-08-04,login
U00001,2024-11-17,feature_use
U00001,2024-09-05,support_ticket
U00001,2024-12-12,support_ticket
U00001,2024-10-21,feature_use
U00001,2024-10-17,feature_use
U00001,2024-12-23,support_ticket
U00001,2024-08-14,feature_use
U00001,2024-08-27,support_ticket
U00001,2024-09-12,login
U00001,2024-09-26,feature_use
U00001,2024-12-01,support_ticket
U00001,2024-08-26,feature_use
U00001,2024-10-26,feature_use
U00002,2023-07-21,support_ticket
U00002,2024-02-08,feature_use
U00002,2023-07-05,login
U00002,2023-09-12,login
U00002,2023-07-12,support_ticket
U00002,2024-03-29,login
U00002,2024-02-28,support_ticket
U00002,2024-05-13,support_ticket
U00002,2024-01-20,login
U00002,2024-09-24,feature_use
U00002,2023-07-16,feature_use
U00002,2024-06-06,support_ticket
U00002,2023-11-29,support_ticket
U00002,2023-10-18,login
U00002,2023-08-12,support_ticket
U00002,2023-05-07,feature_use
U00002,2024-04-24,login
U00002,2024-12-23,login
U00002,2024-05-03,feature_use
U00002,2023-09-22,support_ticket
U00002,2024-04-05,support_ticket
U00002,2023-09-05,login
U00002,2022-10-07,login
U00002,2023-07-04,login
U00002,2023-06-04,feature_use
U00002,2024-05-16,feature_use
U00002,2024-07-14,feature_use
U00002,2024-03-28,support_ticket
U00003,2023-04-21,feature_use
U00003,2023-10-26,support_ticket
U00003,2024-09-13,feature_use
U00003,2024-02-07,login
U00003,2022-10-24,login
U00003,2022-06-26,support_ticket
U00003,2023-02-05,support_ticket
U00003,2023-03-12,support_ticket
U00003,2022-03-25,login
U00003,2022-09-19,feature_use
U00003,2022-05-11,login
U00003,2022-02-20,feature_use
U00003,2024-11-09,login
U00003,2021-12-05,feature_use
U00003,2024-09-20,login
U00003,2022-05-13,feature_use
U00003,2022-08-27,login
U00003,2023-12-20,feature_use
U00003,2023-01-25,login
U00003,2023-05-17,feature_use
U00003,2022-06-28,login
U00003,2024-09-25,login
U00003,2021-12-10,login
U00003,2023-10-13,feature_use
U00003,2024-06-14,feature_use
U00003,2024-10-24,feature_use
U00003,2024-11-09,feature_use
U00003,2022-07-16,support_ticket
U00003,2024-10-21,login
U00003,2024-05-05,support_ticket
U00004,2024-11-05,feature_use
U00004,2024-10-16,support_ticket
U00004,2024-12-14,support_ticket
U00004,2024-06-28,feature_use
U00004,2024-09-24,support_ticket
U00004,2024-05-17,login
U00004,2024-09-04,feature_use
U00004,2024-07-27,feature_use
U00004,2024-06-03,login
U00004,2024-06-25,login
U00004,2024-01-22,support_ticket
U00004,2024-03-31,feature_use
U00004,2024-06-16,feature_use
U00004,2024-10-21,login
U00004,2024-09-29,feature_use
U00004,2024-06-23,login
U00004,2024-08-29,feature_use
U00004,2024-11-22,login
U00004,2024-01-25,support_ticket
U00004,2024-07-31,login
U00004,2024-08-19,support_ticket
U00004,2024-09-01,feature_use
U00004,2024-05-28,login
U00004,2024-12-17,feature_use
U00004,2024-08-02,login
U00004,2024-06-04,login
U00004,2024-08-25,support_ticket
U00004,2024-05-23,support_ticket
U00004,2024-11-30,support_ticket
U00004,2024-06-09,feature_use
U00004,2024-12-19,support_ticket
U00004,2024-10-20,feature_use
U00004,2024-08-20,login
U00004,2024-02-26,login
U00004,2024-03-31,feature_use
U00004,2024-03-18,support_ticket
U00004,2024-09-11,support_ticket
U00004,2024-09-09,feature_use
U00004,2024-12-05,feature_use
U00004,2024-04-27,feature_use
U00004,2024-01-31,login
U00004,2024-02-16,support_ticket
U00004,2024-02-02,login
U00004,2024-03-14,feature_use
U00004,2024-06-07,login
U00005,2024-08-05,support_ticket
U00005,2023-05-23,login
U00005,2023-08-15,login
U00005,2023-05-30,feature_use
U00005,2023-12-23,feature_use
U00005,2024-07-18,feature_use
U00005,2024-10-06,feature_use
U00005,2024-08-31,support_ticket
U00005,2023-06-16,feature_use
U00005,2023-08-05,login
U00005,2023-07-11,feature_use
U00005,2024-06-19,login
U00005,2024-11-21,feature_use
U00005,2023-11-16,login
U00005,2024-01-26,feature_use
U00005,2023-05-27,login
U00005,2024-01-24,feature_use
U00005,2024-08-10,login
